date,location,short_name,long_name,census2019,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_dose1,administered_dose1_per_100k,administered_dose2,administered_dose2_per_100k,administered_moderna,administered_pfizer,administered_unk_manuf,skipped,skip_n
2021-01-28,AK,AKA,Alaska,731545,178075,105858,24342,14470,85672,11711,20045,2740,NA,NA,NA,No,0
2021-01-28,AL,ALA,Alabama,4903185,655275,278993,13364,5690,241337,4922,37431,763,NA,NA,NA,No,0
2021-01-28,AR,ARA,Arkansas,3017804,453300,252824,15021,8378,209445,6940,40910,1356,NA,NA,NA,No,0
2021-01-28,AS,ASA,American Samoa,55689,18450,9085,33130,16314,8133,14604,950,1706,NA,NA,NA,No,0
2021-01-28,AZ,AZA,Arizona,7278717,1011375,487149,13895,6693,412841,5672,73927,1016,NA,NA,NA,No,0
2021-01-28,BP2,BP2,Bureau of Prisons,0,30050,28514,0,0,21081,0,7368,0,NA,NA,NA,No,0
2021-01-28,CA,CAA,California,39512223,5547100,2746876,14039,6952,2281453,5774,458585,1161,NA,NA,NA,No,0
2021-01-28,CO,COA,Colorado,5758736,806950,495706,14013,8608,394156,6844,98663,1713,NA,NA,NA,No,0
2021-01-28,CT,CTA,Connecticut,3565287,571775,381160,16037,10691,315317,8844,59437,1667,NA,NA,NA,No,0
2021-01-28,DC,DCA,District of Columbia,705749,144425,70839,20464,10037,55599,7878,15177,2150,NA,NA,NA,No,0
2021-01-28,DD2,DD2,Dept of Defense,0,794200,389927,0,0,335627,0,46561,0,NA,NA,NA,No,0
2021-01-28,DE,DEA,Delaware,973764,141825,82289,14565,8451,68959,7082,13121,1347,NA,NA,NA,No,0
2021-01-28,FL,FLA,Florida,21477737,3095850,1707251,14414,7949,1497903,6974,204623,953,NA,NA,NA,No,0
2021-01-28,FM,FMA,Federated States of Micronesia,103643,19400,3502,18718,3379,3471,3349,4,4,NA,NA,NA,No,0
2021-01-28,GA,GAA,Georgia,10617423,1441025,764211,13572,7198,659212,6209,89305,841,NA,NA,NA,No,0
2021-01-28,GU,GUA,Guam,165768,34300,19520,20692,11775,15405,9293,3969,2394,NA,NA,NA,No,0
2021-01-28,HI,HIA,Hawaii,1415872,226700,103944,16011,7341,84139,5943,19804,1399,NA,NA,NA,No,0
2021-01-28,IA,IAA,Iowa,3155070,391575,212497,12411,6735,169341,5367,40477,1283,NA,NA,NA,No,0
2021-01-28,ID,IDA,Idaho,1787065,210750,102800,11793,5752,85373,4777,16724,936,NA,NA,NA,No,0
2021-01-28,IH2,IH2,Indian Health Svc,0,406525,180226,0,0,144908,0,33645,0,NA,NA,NA,No,0
2021-01-28,IL,ILA,Illinois,12671821,1631775,823325,12877,6497,643555,5079,162086,1279,NA,NA,NA,No,0
2021-01-28,IN,INA,Indiana,6732219,925300,552144,13744,8202,454380,6749,97614,1450,NA,NA,NA,No,0
2021-01-28,KS,KSA,Kansas,2913314,405550,190301,13921,6532,157536,5407,31429,1079,NA,NA,NA,No,0
2021-01-28,KY,KYA,Kentucky,4467673,611050,342200,13677,7659,297108,6650,43142,966,NA,NA,NA,No,0
2021-01-28,LA,LAA,Louisiana,4648794,620425,375895,13346,8086,323609,6961,51583,1110,NA,NA,NA,No,0
2021-01-28,MA,MAA,Massachusetts,6892503,1018975,490332,14784,7114,406024,5891,83637,1213,NA,NA,NA,No,0
2021-01-28,MD,MDA,Maryland,6045680,851250,412206,14080,6818,355484,5880,56274,931,NA,NA,NA,No,0
2021-01-28,ME,MEA,Maine,1344212,208225,115191,15490,8569,88878,6612,24925,1854,NA,NA,NA,No,0
2021-01-28,MH,MHA,Marshall Islands,58413,13600,3755,23282,6428,3594,6153,129,221,NA,NA,NA,No,0
2021-01-28,MI,MIA,Michigan,9986857,1359700,814416,13615,8155,659118,6600,143757,1439,NA,NA,NA,No,0
2021-01-28,MN,MNA,Minnesota,5639632,801775,403640,14217,7157,315664,5597,87269,1547,NA,NA,NA,No,0
