date,location,short_name,long_name,census2019,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_dose1,administered_dose1_per_100k,administered_dose2,administered_dose2_per_100k,administered_dose1_pop_pct,administered_dose2_pop_pct,administered_moderna,administered_pfizer,administered_unk_manuf,skipped,skip_n
2021-02-22,AK,AKA,Alaska,731545,299935,238279,41000,32572,153349,20962,84385,11535,21,11.5,NA,NA,NA,No,0
2021-02-22,AL,ALA,Alabama,4903185,1082100,793614,22069,16186,570355,11632,221785,4523,11.9,4.7,NA,NA,NA,No,0
2021-02-22,AR,ARA,Arkansas,3017804,691525,535413,22915,17742,370403,12274,161470,5351,12.3,5.4,NA,NA,NA,No,0
2021-02-22,AS,ASA,American Samoa,55689,29450,18816,52883,33788,10978,19713,7818,14039,19.8,14.1,NA,NA,NA,No,0
2021-02-22,AZ,AZA,Arizona,7278717,1688255,1506572,23194,20698,1108935,15235,392139,5387,14.9,5.3,NA,NA,NA,No,0
2021-02-22,BP2,BP2,Bureau of Prisons,0,49175,52347,0,0,32591,0,19637,0,0,0,NA,NA,NA,No,0
2021-02-22,CA,CAA,California,39512223,9178020,7604725,23228,19247,5503523,13929,2048326,5184,13.9,5.2,NA,NA,NA,No,0
2021-02-22,CO,COA,Colorado,5758736,1348800,1231699,23422,21388,831826,14445,392925,6823,14.4,6.8,NA,NA,NA,No,0
2021-02-22,CT,CTA,Connecticut,3565287,984275,882777,27607,24760,595390,16700,277009,7770,16.6,7.8,NA,NA,NA,No,0
2021-02-22,DC,DCA,District of Columbia,705749,225125,164207,31899,23267,109636,15535,54187,7678,10.1,4.4,NA,NA,NA,No,0
2021-02-22,DD2,DD2,Dept of Defense,0,1181300,865896,0,0,617656,0,237626,0,0,0,NA,NA,NA,No,0
2021-02-22,DE,DEA,Delaware,973764,204200,183901,20970,18886,134698,13833,48311,4961,13.6,4.8,NA,NA,NA,No,0
2021-02-22,FL,FLA,Florida,21477737,5120975,4390626,23843,20443,2879026,13405,1482708,6903,13.1,6.8,NA,NA,NA,No,0
2021-02-22,FM,FMA,Federated States of Micronesia,103643,30000,12196,28946,11767,9715,9374,2425,2340,9.5,2.4,NA,NA,NA,No,0
2021-02-22,GA,GAA,Georgia,10617423,2292085,1873683,21588,17647,1210708,11403,623795,5875,11.2,5.8,NA,NA,NA,No,0
2021-02-22,GU,GUA,Guam,165768,51300,49587,30947,29913,32386,19537,16865,10174,19.5,10.2,NA,NA,NA,No,0
2021-02-22,HI,HIA,Hawaii,1415872,397750,331321,28092,23400,223785,15805,107267,7576,15.9,7.6,NA,NA,NA,No,0
2021-02-22,IA,IAA,Iowa,3155070,707865,611188,22436,19372,454792,14415,150392,4767,14.5,4.8,NA,NA,NA,No,0
2021-02-22,ID,IDA,Idaho,1787065,358200,336243,20044,18815,227171,12712,97370,5449,12.9,5.5,NA,NA,NA,No,0
2021-02-22,IH2,IH2,Indian Health Svc,2082813,732905,441876,35188,21215,314387,15094,121574,5837,15.1,5.8,NA,NA,NA,No,0
2021-02-22,IL,ILA,Illinois,12671821,2924925,2354395,23082,18580,1750507,13814,566994,4474,13.9,4.6,NA,NA,NA,No,0
2021-02-22,IN,INA,Indiana,6732219,1487400,1292340,22094,19196,884201,13134,405490,6023,13.1,6,NA,NA,NA,No,0
2021-02-22,KS,KSA,Kansas,2913314,645800,514728,22167,17668,359269,12332,151375,5196,13,5.6,NA,NA,NA,No,0
2021-02-22,KY,KYA,Kentucky,4467673,1006050,839508,22518,18791,573961,12847,262062,5866,13.3,6,NA,NA,NA,No,0
2021-02-22,LA,LAA,Louisiana,4648794,1043200,903226,22440,19429,594561,12790,306685,6597,12.6,6.5,NA,NA,NA,No,0
2021-02-22,MA,MAA,Massachusetts,6892503,1737170,1468992,25204,21313,1080511,15677,384582,5580,15.5,5.5,NA,NA,NA,No,0
2021-02-22,MD,MDA,Maryland,6045680,1450000,1111529,23984,18386,754894,12487,354904,5870,12.9,6.1,NA,NA,NA,No,0
2021-02-22,ME,MEA,Maine,1344212,335375,297116,24950,22103,204495,15213,90423,6727,15.4,6.9,NA,NA,NA,No,0
2021-02-22,MH,MHA,Marshall Islands,58413,21000,8926,35951,15281,7175,12283,1695,2902,12.3,2.9,NA,NA,NA,No,0
2021-02-22,MI,MIA,Michigan,9986857,2279240,1972201,22822,19748,1282233,12839,670899,6718,13.1,6.8,NA,NA,NA,No,0
2021-02-22,MN,MNA,Minnesota,5639632,1284150,1138309,22770,20184,788885,13988,345351,6124,14.1,6.1,NA,NA,NA,No,0
2021-02-22,MO,MOA,Missouri,6137428,1275555,1103908,20783,17986,745007,12139,348584,5680,11.7,5.4,NA,NA,NA,No,0
2021-02-22,MP,MPA,Northern Mariana Islands,56882,29650,16091,52125,28288,9575,16833,6506,11438,16.8,11.4,NA,NA,NA,No,0
2021-02-22,MS,MSA,Mississippi,2976149,650750,499055,21866,16768,353710,11885,144566,4857,12,5,NA,NA,NA,No,0
2021-02-22,MT,MTA,Montana,1068778,259215,240814,24253,22532,167797,15700,72256,6761,15.8,6.8,NA,NA,NA,No,0
2021-02-22,NC,NCA,North Carolina,10488084,2363200,2105120,22532,20072,1385902,13214,716027,6827,13.1,6.7,NA,NA,NA,No,0
2021-02-22,ND,NDA,North Dakota,762062,198650,196365,26067,25768,128657,16883,65503,8595,16.4,8.3,NA,NA,NA,No,0
2021-02-22,NE,NEA,Nebraska,1934408,482975,380648,24968,19678,258588,13368,119890,6198,13.3,6.1,NA,NA,NA,No,0
2021-02-22,NH,NHA,New Hampshire,1359711,328525,267893,24161,19702,184739,13587,82957,6101,14.1,6.3,NA,NA,NA,No,0
2021-02-22,NJ,NJA,New Jersey,8882190,1917150,1711610,21584,19270,1183501,13324,521674,5873,13.9,6.2,NA,NA,NA,No,0
2021-02-22,NM,NMA,New Mexico,2096829,605885,604732,28895,28840,399799,19067,198486,9466,19.5,9.6,NA,NA,NA,No,0
2021-02-22,NV,NVA,Nevada,3080156,646450,586518,20988,19042,405633,13169,176341,5725,13,5.7,NA,NA,NA,No,0
2021-02-22,NY,NYA,New York State,19453561,4171175,3711664,21442,19080,2408373,12380,1218748,6265,12.3,6.2,NA,NA,NA,No,0
2021-02-22,OH,OHA,Ohio,11689100,2518775,2196607,21548,18792,1503346,12861,688163,5887,12.8,5.9,NA,NA,NA,No,0
2021-02-22,OK,OKA,Oklahoma,3956971,1061775,891227,26833,22523,594361,15021,289719,7322,14.9,7.3,NA,NA,NA,No,0
2021-02-22,OR,ORA,Oregon,4217737,924575,844210,21921,20016,560544,13290,279756,6633,13.2,6.6,NA,NA,NA,No,0
2021-02-22,PA,PAA,Pennsylvania,12801989,2989725,2358058,23354,18419,1699219,13273,651588,5090,13.3,5.1,NA,NA,NA,No,0
2021-02-22,PR,PRA,Puerto Rico,3193694,806625,476647,25257,14925,320423,10033,154730,4845,10.1,4.8,NA,NA,NA,No,0
2021-02-22,RI,RIA,Rhode Island,1059361,246175,206034,23238,19449,142522,13454,63410,5986,13.6,5.9,NA,NA,NA,No,0
2021-02-22,RP,RPA,Republic of Palau,17907,9200,6314,51377,35260,3649,20378,2665,14882,20.7,15,NA,NA,NA,No,0
2021-02-22,SC,SCA,South Carolina,5148714,1066275,932588,20710,18113,649402,12613,265062,5148,12.8,5.3,NA,NA,NA,No,0
2021-02-22,SD,SDA,South Dakota,884659,266970,235964,30178,26673,158510,17918,77240,8731,17.9,8.7,NA,NA,NA,No,0
2021-02-22,TN,TNA,Tennessee,6829174,1478150,1130834,21645,16559,763973,11187,362284,5305,11.1,5.2,NA,NA,NA,No,0
2021-02-22,TX,TXA,Texas,28995881,5652800,4711180,19495,16248,3278912,11308,1426511,4920,11.4,4.9,NA,NA,NA,No,0
2021-02-22,UT,UTA,Utah,3205958,658750,610874,20548,19054,356543,11121,146408,4567,11.1,4.6,NA,NA,NA,No,0
2021-02-22,VA,VAA,Virginia,8535519,1949525,1735451,22840,20332,1183068,13861,520814,6102,14,6.1,NA,NA,NA,No,0
