date,location,short_name,long_name,census2019,date_type,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_moderna,administered_pfizer,administered_janssen,administered_unk_manuf,administered_dose1_recip,administered_dose1_pop_pct,administered_dose2_pop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18plus_pop_pct,administered_18plus,admin_per_100k_18plus,administered_dose1_recip_65plus,administered_dose1_recip_65plus_pop_pct,administered_65plus,admin_per_100k_65plus,administered_dose2_recip,administered_dose2_recip_18plus,administered_dose2_recip_18plus_pop_pct,distributed_per_100k_18plus,distributed_moderna,distributed_pfizer,distributed_janssen,distributed_unk_manuf,series_complete_moderna,series_complete_pfizer,series_complete_janssen,series_complete_unk_manuf,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_janssen_18plus,series_complete_unk_manuf_18plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_janssen_65plus,series_complete_unk_manuf_65plus,series_complete_yes,series_complete_pop_pct,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,administered_fed_ltc,administered_fed_ltc_dose1,administered_fed_ltc_dose2,series_complete_fed_ltc,skipped,skip_n
2021-03-12,US,USA,United States,331996199,Report,133337525,101128005,40162,30461,49169578,50960400,873726,124301,65965305,19.9,10.3,65839197,25.5,100957266,39111,33434521,61.1,51389612,93953,34129440,34085884,13.2,51655,66419000,63202425,3716100,0,16128880,17973766,870826,26687,16120498,17938614,870082,26665,8265310,9143349,300708,7408,35000159,10.5,34955860,13.5,17716775,32.4,NA,NA,NA,NA,No,0
2021-03-12,AK,AKA,Alaska,731545,Report,470325,318526,64292,43542,146740,171702,28,56,193951,26.5,17,191978,34.8,315372,57178,62594,68.3,111293,121515,124132,122953,22.3,85271,232500,229125,8700,0,55214,68911,38,7,55166,67780,38,7,29263,20525,8,3,124170,17,122991,22.3,49799,54.4,NA,NA,NA,NA,No,0
2021-03-12,AL,ALA,Alabama,4903185,Report,1838400,1249205,37494,25477,644531,592220,12454,0,816418,16.7,9.4,815860,21.4,1248527,32728,439453,51.7,686505,80781,459632,459503,12,48190,988200,795600,54600,0,231792,227824,12693,16,231776,227711,12693,16,141469,119150,5627,9,472325,9.6,472196,12.4,266255,31.3,NA,NA,NA,NA,No,0
2021-03-12,AR,ARA,Arkansas,3017804,Report,1222370,836608,40505,27722,423121,409599,3764,124,541936,18,9.7,541305,23.4,835877,36066,288015,55,427825,81664,293401,293278,12.7,52742,638300,551070,33000,0,144316,149064,3792,21,144300,148957,3792,21,82964,58320,1622,15,297193,9.8,297070,12.8,142921,27.3,NA,NA,NA,NA,No,0
2021-03-12,AS,ASA,American Samoa,55689,Report,43210,23696,77592,42551,5238,18458,0,0,15085,27.1,15.6,14635,33.7,23057,53081,1980,20.9,3318,35048,8705,8517,19.6,99477,12400,30810,0,0,2105,6600,1,0,2104,6413,1,0,563,825,0,0,8706,15.6,8518,19.6,1388,14.7,NA,NA,NA,NA,No,0
2021-03-12,AZ,AZA,Arizona,7278717,Report,3000645,2418267,41225,33224,1103452,1307001,7152,662,1529482,21,11.3,1524713,27,2410581,42752,788349,60.2,1241947,94904,819390,817548,14.5,53217,1464100,1456845,79700,0,344739,474420,6630,231,344705,472612,6628,231,178611,231980,2100,153,826020,11.3,824176,14.6,412844,31.5,NA,NA,NA,NA,No,0
2021-03-12,BP2,BP2,Bureau of Prisons,0,Report,74690,78795,0,0,31310,47485,0,0,48186,0,0,48186,0,78795,0,2188,0,3558,0,30234,30234,0,0,31400,43290,0,0,11309,18925,0,0,11309,18925,0,0,499,849,0,0,30234,0,30234,0,1348,0,NA,NA,NA,NA,No,0
2021-03-12,CA,CAA,California,39512223,Report,16057300,11428034,40639,28923,5554712,5864319,8834,169,7738923,19.6,9.1,7724505,25.2,11410174,37267,3849740,65.9,5721686,98006,3605816,3602526,11.8,52445,7864800,7718100,474400,0,1724566,1881224,8928,26,1723971,1878529,8920,26,894698,932623,2397,18,3614744,9.1,3611446,11.8,1829736,31.3,NA,NA,NA,NA,No,0
2021-03-12,CO,COA,Colorado,5758736,Report,2331020,1817050,40478,31553,886397,901079,29103,471,1165790,20.2,11.1,1164062,25.9,1814767,40335,591465,70.2,945913,112286,637024,636472,14.1,51809,1170100,1102920,58000,0,303573,333349,28356,102,303525,332845,28324,102,171375,175525,4149,57,665380,11.6,664796,14.8,351106,41.7,NA,NA,NA,NA,No,0
2021-03-12,CT,CTA,Connecticut,3565287,Report,1642625,1345350,46073,37735,600006,717724,27501,119,984384,27.6,9.7,982934,34.6,1343238,47333,536212,85.1,714543,113376,347595,347084,12.2,57883,762400,837525,42700,0,133060,214521,27402,14,132948,214122,27380,14,34820,133192,2848,9,374997,10.5,374464,13.2,170869,27.1,NA,NA,NA,NA,No,0
