date,state_abb,short_name,state,pop,date_type,doses_distributed,doses_administered,dist_per_100k,admin_per_100k,administered_moderna,administered_pfizer,administered_janssen,administered_unk_manuf,administered_dose2_pop_pct,administered_18plus,admin_per_100k_18plus,distributed_per_100k_18plus,administered_65plus,admin_per_100k_65plus,distributed_per_100k_65plus,administered_dose2_recip,administered_dose2_recip_18plus,administered_dose2_recip_18plus_pop_pct,distributed_moderna,distributed_pfizer,distributed_janssen,distributed_unk_manuf,series_complete_moderna,series_complete_pfizer,series_complete_janssen,series_complete_unk_manuf,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_janssen_18plus,series_complete_unk_manuf_18plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_janssen_65plus,series_complete_unk_manuf_65plus,administered_fed_ltc,administered_fed_ltc_dose1,administered_fed_ltc_dose2,series_complete_fed_ltc,skipped,skip_n,mmwr_week,ratio_admin_dist,administered_dose1,administered_dose2,administered_dose_other,administered_dose1_per_100k,administered_dose2_per_100k,administered_dose_other_per_100k,runid,recip_administered,census2019_18plus_pop,merge,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18plus_pop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65plus_pop_pct,series_complete_yes,series_complete_pop_pct,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,n,new_dist,new_admin,new_dist_all,new_admin_all,new_dose1,new_dose2,max_date_ind,unknown_dose,category,pop18,series_complete_march8,series_complete_march9,doses_rank,complete_18_rank,complete_65_rank,dose1_18_rank,dose1_65_rank
2021-01-05,AL,ALA,Alabama,4903185,NA,172000,40278,3508,821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,No,40278,state,3814879,NA,NA,48,1,1,1,1
2021-01-06,AL,ALA,Alabama,4903185,NA,183900,43280,3751,883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,11900,3002,11900,3002,NA,NA,No,43280,state,3814879,NA,NA,49,1,1,1,1
2021-01-07,AL,ALA,Alabama,4903185,NA,245100,48888,4999,997,19028,29860,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,61200,5608,61200,5608,NA,NA,No,48888,state,3814879,NA,NA,49,1,1,1,1
2021-01-08,AL,ALA,Alabama,4903185,NA,283200,57105,5776,1165,23726,33379,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,38100,8217,38100,8217,NA,NA,No,57105,state,3814879,NA,NA,50,1,1,1,1
2021-01-09,AL,ALA,Alabama,4903185,NA,283200,57105,6666,1561,33655,42873,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,0,0,0,0,NA,NA,No,57105,state,3814879,NA,NA,50,1,1,1,1
2021-01-10,AL,ALA,Alabama,4903185,NA,283200,57105,6666,1561,33655,42873,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,0,0,0,0,NA,NA,No,57105,state,3814879,NA,NA,50,1,1,1,1
2021-01-11,AL,ALA,Alabama,4903185,NA,326850,76528,6666,1561,33655,42873,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,43650,19423,43650,19423,NA,NA,No,76528,state,3814879,NA,NA,48,1,1,1,1
2021-01-12,AL,ALA,Alabama,4903185,NA,377025,78134,7689,1594,34087,44047,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,50175,1606,50175,1606,NA,NA,No,0,state,3814879,NA,NA,49,1,1,1,1
2021-01-13,AL,ALA,Alabama,4903185,NA,378975,84040,7729,1714,36605,47435,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1950,5906,1950,5906,NA,NA,No,0,state,3814879,NA,NA,51,1,1,1,1
2021-01-14,AL,ALA,Alabama,4903185,NA,435350,92300,8879,1882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,Master Only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,56375,8260,56375,8260,NA,NA,No,0,state,3814879,NA,NA,51,1,1,1,1
